key,6,7
#,Name,Example
offset,0,4
int32,str,str
0,None,
1,說話,史克爾：無所謂了……
2,喊話,巴茲：有人一起冒險嗎？
3,悄悄話,>> 克勞德： 你這衣服不錯。<hex:02100103>蒂法 >> 克勞德，眼睛看哪呢？
4,小隊,(賽西爾) 你們都在哪裡？
5,情感動作,莉諾雅在展示自己的存在。
6,自訂情感動作,瑟麗絲拍了拍自己的臉。
7,公會,[公會]<克勞德> 我想邀請我的朋友札克斯加入這裡。
8,通訊貝1,[1]<莎拉> 可以的話……請一直留在……
9,通訊貝2,[2]<敏武> 我能夠看到你們的命運。
10,通訊貝3,[3]<艾麗亞> 拜託你們了……驅除黑暗……為這個世界……帶回和平……
11,通訊貝4,[4]<法利斯> 我回憶起來了……被我忘記的咒文！
12,通訊貝5,[5]<加拉夫> 太了不起了！瞧瞧咱這驚人的記憶力！
13,通訊貝6,[6]<洛克> 你這混蛋，一而再、再而三地來搗亂！
14,通訊貝7,[7]<阿爾芭> 我美麗的肌膚都被沙漠風化了……
15,通訊貝8,[8]<提奧多爾> 我要憑藉自己的力量前進！
16,呼喊,克勞德：艾莉絲！！
17,團隊,((斯諾)) 英雄出馬！
18,新人頻道,[新人]<hex:0212024F03>艾莉絲：遇到什麼麻煩了嗎？
19,戰隊,[戰隊]<吉坦> 你好！
20,跨服通訊貝1,[跨服貝1]<尤菲> 你好！
21,系統資訊,向克勞德發送了入隊邀請。
22,,
23,採集系統資訊,這片地域好像沒有礦脈及石場。
24,錯誤資訊,向克勞德發送悄悄話失敗。
25,默語,默語
26,NPC角色對話,巴德龍：有什麼我可以幫你的？
27,掉落品訊息,史克爾得到了玉者之劍。
28,自己的成長資訊,等級提升了！  史克爾升到了51級。
29,他人的成長資訊,等級提升了！  莉諾雅升到了52級。
30,自己的戰利品資訊,史克爾在需求條件下對“玉者之劍”擲出了1點。
31,他人的戰利品資訊,莉諾雅在需求條件下對“玉者之劍”擲出了99點。
32,自己的製作資訊,史克爾製作“英雄之藥”成功！
33,他人的製作資訊,莉諾雅製作“聖戰之藥”成功！
34,交流簿的新留言,公會房屋的交流簿有新的留言。
35,自己的採集資訊,史克爾開始了採掘作業。
36,他人的釣魚成果,垂釣老人成功釣上了<hex:024804F2022503><hex:024904F2022603>羅敏薩鯷魚<hex:0249020103><hex:0248020103>（3.3星寸）。
37,自己的戰鬥系統資訊,史克爾將毛爾波爾打倒了。
38,他人的戰鬥系統資訊,莉諾雅將毛爾波爾打倒了。
39,NPC角色通告,布萊蒙達：我是在這一帶行商的旅行商人。
40,公會通告,公會消息：更改了階級的序列。
41,公會成員上線通知,公會消息：克勞德上線了。
42,隊友的成長資訊,等級提升了！  克勞德升到了51級。
43,市場出售資訊,在烏爾達哈市場以100 Gil的價格出售的“緞帶”成功售出，獲得了95 Gil。
44,隊員招募的通知資訊,當前共有12個隊伍正在招募隊員，其中有3個符合搜尋條件。
45,標記設置資訊,史克爾對塞爾標注了“萬事通1”標記。
46,擲骰的資訊,西捷亞擲出了<hex:0212024A03>666點！
47,新人頻道通知,加入了新人頻道。<hex:02100103>當前參加人數：<hex:0212024F03>指導者10人/<hex:0212024E03>新人30人
48,管弦樂琴的播放資訊,播放了«水晶序曲　～冒險的序章～»。
49,戰隊通告,戰隊消息：梵恩加入了戰隊。
50,戰隊成員上線通知,戰隊消息：吉坦上線了。
51,自己造成傷害,史克爾發動攻擊  毛爾波爾受到了9999點傷害。
52,自己的攻擊落空,史克爾發動攻擊  失誤了！
53,自己的技能,史克爾正在詠唱“火光”。<hex:02100103>史克爾中斷了詠唱“火光”。
54,自己的道具,史克爾正在使用“萬靈藥”。<hex:02100103>史克爾中斷了使用“萬靈藥”。
55,自己進行恢復,   史克爾恢復了9999點HP。
56,自己給他人附加強化狀態,   對史克爾附加了“物防護”的效果。
57,自己給他人附加弱化狀態,   對毛爾波爾附加了“失明”的效果。
58,自己受到傷害,毛爾波爾發動攻擊  史克爾受到了9999點傷害。
59,自己迴避了攻擊,毛爾波爾發動攻擊  失誤了！
60,對自己發動的技能,莉諾雅正在詠唱“物防護”。<hex:02100103>莉諾雅中斷了詠唱“物防護”。
61,對自己使用的道具,莉諾雅使用了“萬靈藥”。<hex:02100103>莉諾雅中斷了使用“萬靈藥”。
62,自己接受恢復,   史克爾恢復了9999點HP。
63,自己接收他人的強化狀態,   對史克爾附加了“物防護”的效果。
64,自己接收他人的弱化狀態,   對史克爾附加了“沉默”的效果。
65,自己的強化狀態效果消失,史克爾的“物防護”狀態效果消失了。
66,自己的弱化狀態效果消失,史克爾的“沉默”狀態效果消失了。
67,鬧鐘通知資訊,<hex:0212026903> 鬧鐘 -  12:34
68,,
69,,
70,,
71,隊友造成傷害,克勞德發動攻擊  毛爾波爾受到了9999點傷害。
72,隊友的攻擊落空,克勞德發動攻擊  失誤了！
73,隊友的技能,克勞德正在詠唱“火光”。<hex:02100103>克勞德中斷了詠唱“火光”。
74,隊友的道具,克勞德正在使用“萬靈藥”。<hex:02100103>克勞德中斷了使用“萬靈藥”。
75,隊友進行恢復,   克勞德恢復了9999點HP。
76,隊友給他人附加強化狀態,   對克勞德附加了“物防護”的效果。
77,隊友給他人附加弱化狀態,   對毛爾波爾附加了“失明”的效果。
78,隊友受到傷害,毛爾波爾發動攻擊  克勞德受到了9999點傷害。
79,隊友迴避了攻擊,毛爾波爾發動攻擊  失誤了！
80,對隊友發動的技能,蒂法正在詠唱“物防護”。<hex:02100103>蒂法中斷了詠唱“物防護”。
81,對隊友使用的道具,蒂法使用了“萬靈藥”。<hex:02100103>蒂法中斷了使用“萬靈藥”。
82,隊友接受恢復,   克勞德恢復了9999點HP。
83,隊友接收他人的強化狀態,   對克勞德附加了“物防護”的效果。
84,隊友接收他人的弱化狀態,   對克勞德附加了“沉默”的效果。
85,隊友的強化狀態效果消失,克勞德的“物防護”狀態效果消失了。
86,隊友的弱化狀態效果消失,克勞德的“沉默”狀態效果消失了。
87,,
88,,
89,,
90,,
91,他人造成傷害,洛克發動攻擊  毛爾波爾受到了9999點傷害。
92,他人的攻擊落空,洛克發動攻擊  失誤了！
93,他人的技能,洛克正在詠唱“火光”。<hex:02100103>洛克中斷了詠唱“火光”。
94,他人的道具,洛克正在使用“萬靈藥”。<hex:02100103>洛克中斷了使用“萬靈藥”。
95,他人進行恢復,   洛克恢復了9999點HP。
96,他人給他人附加強化狀態,   對洛克附加了“物防護”的效果。
97,他人給他人附加弱化狀態,   對毛爾波爾附加了“失明”的效果。
98,他人受到傷害,毛爾波爾發動攻擊  洛克受到了9999點傷害。
99,他人迴避了攻擊,毛爾波爾發動攻擊  失誤了！
100,對他人發動的技能,蒂娜正在詠唱“物防護”。<hex:02100103>蒂娜中斷了詠唱“物防護”。
101,對他人使用的道具,蒂娜使用了“萬靈藥”。<hex:02100103>蒂娜中斷了使用“萬靈藥”。
102,他人接受恢復,   洛克恢復了9999點HP。
103,他人接收他人的強化狀態,   對洛克附加了“物防護”的效果。
104,他人接收他人的弱化狀態,   對洛克附加了“沉默”的效果。
105,他人的強化狀態效果消失,洛克的“物防護”狀態效果消失了。
106,他人的弱化狀態效果消失,洛克的“沉默”狀態效果消失了。
107,,
108,,
109,,
110,,
111,交戰狀態下的敵人造成傷害,伊迪雅發動攻擊  史克爾受到了9999點傷害。
112,交戰狀態下的敵人的攻擊落空,伊迪雅發動攻擊  失誤了！
113,交戰狀態下的敵人的技能,伊迪雅正在詠唱“火光”。<hex:02100103>伊迪雅中斷了詠唱“火光”。
114,交戰狀態下的敵人的道具,伊迪雅正在使用“萬靈藥”。<hex:02100103>伊迪雅中斷了使用“萬靈藥”。
